state_code,"county_code","value"
42,037,0.00408
13,255,0.00408
48,039,0.04082
13,059,0.00408
55,031,0.00816
39,159,0.00408
48,139,0.01633
47,107,0.00408
20,015,0.01224
47,103,0.00408
34,035,0.03673
48,423,0.01224
48,135,0.01633
13,067,0.04898
13,179,0.00816
54,003,0.00408
51,710,0.04490
51,670,0.00408
04,003,0.00816
28,049,0.02449
27,109,0.01224
51,087,0.05714
40,109,0.13061
51,085,0.01224
13,261,0.00816
39,123,0.01633
13,263,0.00816
39,041,0.00408
40,101,0.01633
39,043,0.04490
45,091,0.01224
19,033,0.00816
37,063,0.01224
16,027,0.00408
51,810,0.01224
25,005,0.13061
25,001,0.09796
28,033,0.00816
21,015,0.01224
25,009,0.14694
39,099,0.06939
29,183,0.05306
54,069,0.02041
48,041,0.02041
50,025,0.00408
29,187,0.00816
45,087,0.01224
29,189,0.27755
37,025,0.01224
54,061,0.04082
06,031,0.02041
40,087,0.02041
53,029,0.00408
39,051,0.00816
36,121,0.00408
01,045,0.00408
28,047,0.03673
33,013,0.03673
45,083,0.03673
37,019,0.00408
06,035,0.00816
29,139,0.00408
39,055,0.00408
40,079,0.01224
31,119,0.00408
34,009,0.01224
34,003,0.36735
31,111,0.00408
34,001,0.08163
34,007,0.14694
34,005,0.22449
18,011,0.00408
21,083,0.00408
32,031,0.03673
54,005,0.00408
21,089,0.01633
18,019,0.00408
18,157,0.02449
16,001,0.01224
06,007,0.00408
26,073,0.01633
26,075,0.05714
26,077,0.05714
13,205,0.00408
54,001,0.00408
29,053,0.00408
48,355,0.07755
46,029,0.00408
42,079,0.05306
42,077,0.08980
49,035,0.09796
42,075,0.01633
37,119,0.10612
42,073,0.00408
42,071,0.04898
20,169,0.02041
48,349,0.01224
20,161,0.02857
55,039,0.00816
05,069,0.03265
05,143,0.02449
48,361,0.00816
17,019,0.00816
48,181,0.00408
38,035,0.00408
55,065,0.00408
17,011,0.00408
51,041,0.04082
55,101,0.08571
55,105,0.00816
28,075,0.00816
13,313,0.00816
55,033,0.00408
17,081,0.01224
31,053,0.00408
53,005,0.05306
31,055,0.09796
17,089,0.04082
35,025,0.02041
36,043,0.02041
27,047,0.00408
39,093,0.14286
48,469,0.01224
08,041,0.07755
48,467,0.00816
45,043,0.00408
55,089,0.00816
45,041,0.01633
45,047,0.00408
45,045,0.04898
47,149,0.01633
47,025,0.00816
47,023,0.00408
36,045,0.00408
20,111,0.01633
47,147,0.00408
17,035,0.00408
37,021,0.03673
33,015,0.05714
37,023,0.00408
33,017,0.02449
39,089,0.00408
33,011,0.04082
37,027,0.00408
19,075,0.00816
39,085,0.09796
05,091,0.00408
39,087,0.01224
39,081,0.00408
42,107,0.00816
39,169,0.03265
42,103,0.02041
42,101,0.34286
26,015,0.00408
19,171,0.00816
48,183,0.00816
39,167,0.02449
48,187,0.03265
55,141,0.00408
46,103,0.00408
18,167,0.00408
48,167,0.04490
36,047,0.39592
16,083,0.00816
48,007,0.00408
17,177,0.01633
26,025,0.00816
24,033,0.10204
24,031,0.10204
13,135,0.00408
39,017,0.10204
40,135,0.00408
39,013,0.02449
39,011,0.01633
16,019,0.01224
40,031,0.00816
27,157,0.00408
13,139,0.00816
13,031,0.01633
41,039,0.01633
40,037,0.02041
18,057,0.01224
18,053,0.02449
18,051,0.00408
21,043,0.00816
17,201,0.03265
53,021,0.01224
54,011,0.02041
19,013,0.01633
51,065,0.01224
45,003,0.00816
48,485,0.02449
42,033,0.00408
48,481,0.02449
33,001,0.00816
35,013,0.02041
12,033,0.02857
18,109,0.00816
12,031,0.20816
48,037,0.01224
48,489,0.00816
29,019,0.00816
37,159,0.03673
42,117,0.00816
37,151,0.00408
51,139,0.00408
37,155,0.02041
37,157,0.01224
17,117,0.01224
17,115,0.03673
08,101,0.02857
21,225,0.00408
17,111,0.01633
21,227,0.05306
53,057,0.00408
05,025,0.00816
53,053,0.23265
17,119,0.04898
18,127,0.02857
36,099,0.00408
39,101,0.00408
36,093,0.03265
13,295,0.00408
36,091,0.00816
13,247,0.00408
12,107,0.01224
12,105,0.04490
12,103,0.07347
12,101,0.02857
13,009,0.00408
12,109,0.01224
26,049,0.03673
29,161,0.00408
26,125,0.21224
06,059,0.24082
01,103,0.01633
29,165,0.01224
23,005,0.04490
06,055,0.00408
06,057,0.00816
31,153,0.02041
42,089,0.06531
38,089,0.00408
05,115,0.00408
10,005,0.02857
55,123,0.00408
05,111,0.00408
10,001,0.07347
10,003,0.17143
20,091,0.11429
47,187,0.04898
05,119,0.02449
48,233,0.00816
48,231,0.00816
17,063,0.00816
48,131,0.00816
17,061,0.00408
27,027,0.00816
18,135,0.00408
05,055,0.00408
55,127,0.02449
13,189,0.00408
47,065,0.05714
36,001,0.08980
18,137,0.00408
36,005,0.14286
19,139,0.02041
36,007,0.09388
36,009,0.00408
17,071,0.00408
55,079,0.27347
51,550,0.00408
48,303,0.01224
12,085,0.00408
48,309,0.02449
13,039,0.01224
45,031,0.00816
19,099,0.00408
45,035,0.04490
12,081,0.01633
48,439,0.21224
42,087,0.01224
47,115,0.01224
47,113,0.00816
48,121,0.09388
47,119,0.01633
51,700,0.03673
04,019,0.06531
13,073,0.00816
13,075,0.00408
13,077,0.00408
04,013,0.31020
27,099,0.00816
39,113,0.13878
39,059,0.00816
36,071,0.11020
53,011,0.14694
37,179,0.01633
37,077,0.00408
39,119,0.00408
39,019,0.00408
36,079,0.08980
39,057,0.02041
13,177,0.00408
37,071,0.04082
54,051,0.01633
18,091,0.01224
18,097,0.07755
42,085,0.00408
18,095,0.01224
17,093,0.02041
48,055,0.02857
48,091,0.00408
26,115,0.02041
06,087,0.00816
06,085,0.06531
12,073,0.02041
06,083,0.01224
12,071,0.05306
06,081,0.04898
51,177,0.06531
39,049,0.15102
42,091,0.28571
37,195,0.01224
01,077,0.01224
37,191,0.02041
01,073,0.04082
51,179,0.00816
20,079,0.01224
51,775,0.00408
01,109,0.00408
51,770,0.06122
27,163,0.05306
26,117,0.00816
27,169,0.01224
13,109,0.00408
46,083,0.00408
01,095,0.00408
01,097,0.09388
18,163,0.06122
01,117,0.01633
51,067,0.00408
56,025,0.00408
49,057,0.01633
21,179,0.02041
18,169,0.01633
37,065,0.02041
21,079,0.00816
18,059,0.00408
39,027,0.02041
19,065,0.00408
18,007,0.00816
37,067,0.03265
21,073,0.02041
18,003,0.05714
06,011,0.02857
06,013,0.04490
01,101,0.01633
06,017,0.00408
06,019,0.10204
37,061,0.00816
26,081,0.04898
06,025,0.00816
42,049,0.05306
37,105,0.01224
45,001,0.00408
06,053,0.00816
37,101,0.00408
42,043,0.06939
26,163,0.51429
42,041,0.04082
26,161,0.05306
42,045,0.48980
47,009,0.02449
08,035,0.00408
08,031,0.08571
17,021,0.01633
35,045,0.01633
20,209,0.04898
17,029,0.02041
26,111,0.00816
17,147,0.00816
21,215,0.00408
17,141,0.00408
17,143,0.02857
36,053,0.00816
55,139,0.06122
37,111,0.00408
55,135,0.00408
25,003,0.00816
55,133,0.09796
36,051,0.01224
55,131,0.01224
12,095,0.11837
26,017,0.00816
12,097,0.02857
06,067,0.11429
12,091,0.01224
06,061,0.02041
34,031,0.11837
53,015,0.02041
36,057,0.02449
17,099,0.02041
12,099,0.14694
31,109,0.02449
34,039,0.12245
48,479,0.01224
20,149,0.00408
48,471,0.00816
19,193,0.03673
55,097,0.00816
19,113,0.01224
12,083,0.01224
47,011,0.02449
55,017,0.00408
36,113,0.02041
05,125,0.00816
47,019,0.00408
47,157,0.28163
47,155,0.02041
39,157,0.03673
39,155,0.08571
29,047,0.04490
39,153,0.14286
19,049,0.01633
19,163,0.04082
48,051,0.00408
39,097,0.00816
19,045,0.03265
39,095,0.12653
51,059,0.13061
05,085,0.00816
46,061,0.00408
42,133,0.07755
38,015,0.00408
55,009,0.02857
29,510,0.03673
28,151,0.03265
39,175,0.00408
51,580,0.00408
36,115,0.00816
38,017,0.05714
36,037,0.02041
54,099,0.00408
41,051,0.08571
41,053,0.00816
12,037,0.00408
54,091,0.00408
41,059,0.01633
27,003,0.11020
48,409,0.02449
12,035,0.00408
29,099,0.02041
45,073,0.00816
29,097,0.00408
17,023,0.00408
29,095,0.06939
24,003,0.02857
24,001,0.01633
24,005,0.07755
20,037,0.01224
20,035,0.00408
39,129,0.00408
13,127,0.03265
37,085,0.01224
48,367,0.00816
48,085,0.07755
13,123,0.00408
37,081,0.04898
13,121,0.10612
41,029,0.00816
27,123,0.04898
51,735,0.00408
45,079,0.02449
13,129,0.00408
18,043,0.00408
21,035,0.02041
21,037,0.00816
18,047,0.00408
27,045,0.00408
18,049,0.00408
21,135,0.00408
12,027,0.00408
36,023,0.01224
25,027,0.20816
25,025,0.19592
25,023,0.14694
25,021,0.20408
42,009,0.00408
48,491,0.04898
13,051,0.01224
06,115,0.00408
42,005,0.01224
42,003,0.24898
06,111,0.06939
42,001,0.01224
06,113,0.00816
17,091,0.00816
51,125,0.00408
37,141,0.00408
37,147,0.01224
45,015,0.02041
53,063,0.01633
53,061,0.10204
53,067,0.02449
08,077,0.00408
18,035,0.02857
18,033,0.00816
21,145,0.00408
36,081,0.22857
36,083,0.03265
18,039,0.02041
36,085,0.20408
36,087,0.04490
12,111,0.07347
12,115,0.03673
12,117,0.02857
08,069,0.00816
01,111,0.00408
17,097,0.23265
29,077,0.03265
01,115,0.01633
42,095,0.13469
17,199,0.01224
42,097,0.00816
17,197,0.20816
42,099,0.00408
17,195,0.00816
06,023,0.00816
26,057,0.02449
23,031,0.02857
40,071,0.00408
27,049,0.00408
48,209,0.01224
47,053,0.00816
48,203,0.00816
24,045,0.02041
48,201,0.54286
40,073,0.00408
47,059,0.01633
27,053,0.21633
19,157,0.00408
17,173,0.00408
08,005,0.04082
05,045,0.01633
17,179,0.02449
08,001,0.06939
17,073,0.00408
51,019,0.00408
50,015,0.00408
51,011,0.00408
51,013,0.00408
19,125,0.00408
19,127,0.02041
35,001,0.07347
48,339,0.02449
16,079,0.00204
16,073,0.00204
53,001,0.00204
16,071,0.00204
16,077,0.00204
16,075,0.00204
04,025,0.00204
48,093,0.00204
04,021,0.00204
31,177,0.00204
72,021,0.00204
19,159,0.00204
39,105,0.00204
39,107,0.00204
19,151,0.00204
72,071,0.00204
40,029,0.00204
48,025,0.00204
22,009,0.00204
22,001,0.00204
22,003,0.00204
22,005,0.00204
40,025,0.00204
22,007,0.00204
46,137,0.00204
46,135,0.00204
72,027,0.00204
27,173,0.00204
21,103,0.00204
21,105,0.00204
21,107,0.00204
21,109,0.00204
32,013,0.00204
32,011,0.00204
51,840,0.00204
32,017,0.00204
32,015,0.00204
47,081,0.00204
32,019,0.00204
41,001,0.00204
42,057,0.00204
26,151,0.00204
42,053,0.00204
12,017,0.00204
42,059,0.00204
12,013,0.00204
51,115,0.00204
72,075,0.00204
46,009,0.00204
51,111,0.00204
51,113,0.00204
46,003,0.00204
42,083,0.00204
02,261,0.00204
46,007,0.00204
72,077,0.00204
46,005,0.00204
17,033,0.00204
48,021,0.00204
39,065,0.00204
72,073,0.00204
26,023,0.00204
26,027,0.00204
12,121,0.00204
12,123,0.00204
12,125,0.00204
48,261,0.00204
20,153,0.00204
72,029,0.00204
05,113,0.00204
37,009,0.00204
37,007,0.00204
37,005,0.00204
48,365,0.00204
48,237,0.00204
36,021,0.00204
36,025,0.00204
48,235,0.00204
72,103,0.00204
48,149,0.00204
48,419,0.00204
48,145,0.00204
48,147,0.00204
72,081,0.00204
51,061,0.00204
45,061,0.00204
45,065,0.00204
45,067,0.00204
13,053,0.00204
13,055,0.00204
72,105,0.00204
37,177,0.00204
37,175,0.00204
37,173,0.00204
37,171,0.00204
05,051,0.00204
54,085,0.00204
54,087,0.00204
54,081,0.00204
54,083,0.00204
54,089,0.00204
31,129,0.00204
31,127,0.00204
31,125,0.00204
31,123,0.00204
31,121,0.00204
18,149,0.00204
37,125,0.00204
18,143,0.00204
18,145,0.00204
18,147,0.00204
72,085,0.00204
37,121,0.00204
29,109,0.00204
46,011,0.00204
72,129,0.00204
37,123,0.00204
29,105,0.00204
29,107,0.00204
30,015,0.00204
30,017,0.00204
08,019,0.00204
08,017,0.00204
30,011,0.00204
08,015,0.00204
08,014,0.00204
08,011,0.00204
55,111,0.00204
55,113,0.00204
55,115,0.00204
55,119,0.00204
46,013,0.00204
47,035,0.00204
47,031,0.00204
47,033,0.00204
72,089,0.00204
47,039,0.00204
18,115,0.00204
55,029,0.00204
19,149,0.00204
39,171,0.00204
19,147,0.00204
19,145,0.00204
19,143,0.00204
55,023,0.00204
19,141,0.00204
72,033,0.00204
48,199,0.00204
30,049,0.00204
22,019,0.00204
22,013,0.00204
22,011,0.00204
22,017,0.00204
22,015,0.00204
46,129,0.00204
46,121,0.00204
46,123,0.00204
46,125,0.00204
46,127,0.00204
27,143,0.00204
16,065,0.00204
27,141,0.00204
16,067,0.00204
27,147,0.00204
16,061,0.00204
16,063,0.00204
27,149,0.00204
18,119,0.00204
72,035,0.00204
21,113,0.00204
21,115,0.00204
48,447,0.00204
21,119,0.00204
56,045,0.00204
32,009,0.00204
32,005,0.00204
32,007,0.00204
32,001,0.00204
26,141,0.00204
42,023,0.00204
26,143,0.00204
02,270,0.00204
12,001,0.00204
48,129,0.00204
51,103,0.00204
72,037,0.00204
51,109,0.00204
13,289,0.00204
13,287,0.00204
51,127,0.00204
13,285,0.00204
13,283,0.00204
13,281,0.00204
02,050,0.00204
30,061,0.00204
48,219,0.00204
48,127,0.00204
53,039,0.00204
26,039,0.00204
49,047,0.00204
12,131,0.00204
26,031,0.00204
49,045,0.00204
48,229,0.00204
20,089,0.00204
20,085,0.00204
30,067,0.00204
20,083,0.00204
20,081,0.00204
49,043,0.00204
49,041,0.00204
13,199,0.00204
13,193,0.00204
37,011,0.00204
13,191,0.00204
37,013,0.00204
13,197,0.00204
37,015,0.00204
13,195,0.00204
48,311,0.00204
48,313,0.00204
48,315,0.00204
48,317,0.00204
48,319,0.00204
48,429,0.00204
48,133,0.00204
48,137,0.00204
47,175,0.00204
13,065,0.00204
13,063,0.00204
55,011,0.00204
13,061,0.00204
47,177,0.00204
47,069,0.00204
13,069,0.00204
13,265,0.00204
13,267,0.00204
72,097,0.00204
13,269,0.00204
45,089,0.00204
40,089,0.00204
48,047,0.00204
48,217,0.00204
48,043,0.00204
40,081,0.00204
26,153,0.00204
40,083,0.00204
40,085,0.00204
20,065,0.00204
37,161,0.00204
20,067,0.00204
37,163,0.00204
20,061,0.00204
20,063,0.00204
37,167,0.00204
20,069,0.00204
48,351,0.00204
72,095,0.00204
45,081,0.00204
31,113,0.00204
31,117,0.00204
31,115,0.00204
48,211,0.00204
18,159,0.00204
18,153,0.00204
18,151,0.00204
18,155,0.00204
51,117,0.00204
72,093,0.00204
72,139,0.00204
29,119,0.00204
29,111,0.00204
29,117,0.00204
29,115,0.00204
51,033,0.00204
08,029,0.00204
08,023,0.00204
08,021,0.00204
08,027,0.00204
08,025,0.00204
55,103,0.00204
55,107,0.00204
51,119,0.00204
51,035,0.00204
72,091,0.00204
55,069,0.00204
48,363,0.00204
47,027,0.00204
47,021,0.00204
47,029,0.00204
47,111,0.00204
19,179,0.00204
19,173,0.00204
39,163,0.00204
19,177,0.00204
19,175,0.00204
22,027,0.00204
22,025,0.00204
22,023,0.00204
22,021,0.00204
22,029,0.00204
72,045,0.00204
51,620,0.00204
16,013,0.00204
39,015,0.00204
16,015,0.00204
27,159,0.00204
16,017,0.00204
27,155,0.00204
27,151,0.00204
27,153,0.00204
22,117,0.00204
21,129,0.00204
21,127,0.00204
21,125,0.00204
21,123,0.00204
22,115,0.00204
21,121,0.00204
16,059,0.00204
02,201,0.00204
12,039,0.00204
42,031,0.00204
46,065,0.00204
22,111,0.00204
46,067,0.00204
42,035,0.00204
42,039,0.00204
40,003,0.00204
51,133,0.00204
51,131,0.00204
51,137,0.00204
51,135,0.00204
40,005,0.00204
16,057,0.00204
40,007,0.00204
72,041,0.00204
13,299,0.00204
22,119,0.00204
13,291,0.00204
13,293,0.00204
13,297,0.00204
26,041,0.00204
26,043,0.00204
26,047,0.00204
20,099,0.00204
19,095,0.00204
20,093,0.00204
20,095,0.00204
20,097,0.00204
13,187,0.00204
13,181,0.00204
13,183,0.00204
05,057,0.00204
05,053,0.00204
12,129,0.00204
36,003,0.00204
01,107,0.00204
48,301,0.00204
48,307,0.00204
48,305,0.00204
48,435,0.00204
48,437,0.00204
48,431,0.00204
48,433,0.00204
30,047,0.00204
27,111,0.00204
72,099,0.00204
48,123,0.00204
26,029,0.00204
48,125,0.00204
13,071,0.00204
13,079,0.00204
13,277,0.00204
13,275,0.00204
13,273,0.00204
13,271,0.00204
13,279,0.00204
18,099,0.00204
18,093,0.00204
27,113,0.00204
48,057,0.00204
40,099,0.00204
48,053,0.00204
40,093,0.00204
40,091,0.00204
40,097,0.00204
40,095,0.00204
20,077,0.00204
20,075,0.00204
37,199,0.00204
20,073,0.00204
20,071,0.00204
37,197,0.00204
37,193,0.00204
48,369,0.00204
72,049,0.00204
28,021,0.00204
18,165,0.00204
18,161,0.00204
27,115,0.00204
28,023,0.00204
16,021,0.00204
28,025,0.00204
29,127,0.00204
48,399,0.00204
29,125,0.00204
19,035,0.00204
29,123,0.00204
28,027,0.00204
29,121,0.00204
51,595,0.00204
20,139,0.00204
29,129,0.00204
16,025,0.00204
28,029,0.00204
48,411,0.00204
08,037,0.00204
08,033,0.00204
72,031,0.00204
35,047,0.00204
08,039,0.00204
35,043,0.00204
20,133,0.00204
20,131,0.00204
72,023,0.00204
55,137,0.00204
05,133,0.00204
31,105,0.00204
31,107,0.00204
31,103,0.00204
37,103,0.00204
72,025,0.00204
48,009,0.00204
47,013,0.00204
47,017,0.00204
47,015,0.00204
19,165,0.00204
19,167,0.00204
19,161,0.00204
27,015,0.00204
27,017,0.00204
27,011,0.00204
55,003,0.00204
55,007,0.00204
55,005,0.00204
22,031,0.00204
22,033,0.00204
22,035,0.00204
22,037,0.00204
22,039,0.00204
51,031,0.00204
48,391,0.00204
27,129,0.00204
16,003,0.00204
16,007,0.00204
16,005,0.00204
27,121,0.00204
16,009,0.00204
27,125,0.00204
27,127,0.00204
21,139,0.00204
21,131,0.00204
21,133,0.00204
21,137,0.00204
02,180,0.00204
12,021,0.00204
02,185,0.00204
12,023,0.00204
19,087,0.00204
02,188,0.00204
12,029,0.00204
46,073,0.00204
42,127,0.00204
30,081,0.00204
46,075,0.00204
46,079,0.00204
42,121,0.00204
42,123,0.00204
51,121,0.00204
46,053,0.00204
45,017,0.00204
35,059,0.00204
12,113,0.00204
05,059,0.00204
12,119,0.00204
41,041,0.00204
26,059,0.00204
26,053,0.00204
26,051,0.00204
17,193,0.00204
17,191,0.00204
26,055,0.00204
41,069,0.00204
48,207,0.00204
48,205,0.00204
17,175,0.00204
17,171,0.00204
05,047,0.00204
05,041,0.00204
51,141,0.00204
48,337,0.00204
48,335,0.00204
48,333,0.00204
48,331,0.00204
48,117,0.00204
48,115,0.00204
48,111,0.00204
40,153,0.00204
40,151,0.00204
48,119,0.00204
48,417,0.00204
48,415,0.00204
13,085,0.00204
13,087,0.00204
13,081,0.00204
13,243,0.00204
13,241,0.00204
13,249,0.00204
29,087,0.00204
36,107,0.00204
31,101,0.00204
48,063,0.00204
48,067,0.00204
48,065,0.00204
48,069,0.00204
20,043,0.00204
20,041,0.00204
20,047,0.00204
37,189,0.00204
37,187,0.00204
20,049,0.00204
37,185,0.00204
37,181,0.00204
21,085,0.00204
01,129,0.00204
18,175,0.00204
01,121,0.00204
01,123,0.00204
01,127,0.00204
54,035,0.00204
54,031,0.00204
29,131,0.00204
29,133,0.00204
29,135,0.00204
29,137,0.00204
18,087,0.00204
01,019,0.00204
01,011,0.00204
01,013,0.00204
08,043,0.00204
31,009,0.00204
08,045,0.00204
08,047,0.00204
31,005,0.00204
08,049,0.00204
31,007,0.00204
35,055,0.00204
31,001,0.00204
35,053,0.00204
